use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,10,0.8,0.8,1.0,0.5,1,0.0,1024,451.35147994979445,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,10,0.8,0.8,1.0,1.0,1,0.0,1024,456.0183151876383,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,0,1,0.0,1024,465.22615547409225,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,0.5,1,0.0,1024,453.6481475623228,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0,1.0,1,0.0,1024,454.5641840276913,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,0,1,0.0,1024,455.35382636505466,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,0.5,1,0.0,1024,451.3478551452346,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,0.5,1.0,1,0.0,1024,453.51712317185377,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,1.0,0,1,0.0,1024,450.930552341975,False,
True,True,False,linear,8,"{'agi-are-DE': 8, 'agi-are-00-04': 8, 'agi-are-05-14': 8, 'agi-are-15-34': 8, 'agi-are-35-59': 8, 'agi-are-60+': 8, 'default_lags': 1}","(0, 1)",20,-1,0.05,500,20,0.8,0.8,1.0,0.5,1,0.0,1024,453.8704579822944,False,
